Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A900660,Max,3/22/2024 16:41,Mar-24,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,6 years,West Highland Mix,Tan
A900664,*Goldilocks,3/22/2024 16:57,Mar-24,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Gold/White
A900666,Chloe,3/22/2024 16:57,Mar-24,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Gold/White
A900663,Kota,3/22/2024 16:57,Mar-24,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Gold/White
A900662,Nacho,3/22/2024 16:57,Mar-24,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Gold/White
A900665,*Millie,3/22/2024 16:57,Mar-24,5302 Apple Orchard Lane in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Gold/White
A900669,Shaxx,3/22/2024 17:13,Mar-24,1417 Alma Drive in Austin (TX),Stray,Injured,Dog,Intact Male,5 years,Miniature Poodle,White
A900676,,3/22/2024 22:59,Mar-24,Sarahs Creek Park in Austin (TX),Stray,Injured,Dog,Unknown,2 years,German Shepherd,Black/Tan
A861578,King,3/23/2024 9:33,Mar-24,5330 Ih 35 in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull,Black/White
A900693,*Bexar,3/23/2024 10:22,Mar-24,9920 Quail Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,7 years,German Shepherd,Black/Brown
A900668,,3/23/2024 10:28,Mar-24,8000 Decker Lane in Austin (TX),Owner Surrender,Injured,Dog,Intact Female,2 years,German Shepherd,Sable
A900695,Pooh,3/23/2024 10:34,Mar-24,2305 Park Lane in Travis (TX),Abandoned,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/White
A900704,Luka,3/23/2024 11:26,Mar-24,Montopolis Drive And Walker Lane in Austin (TX),Stray,Med Attn,Dog,Neutered Male,6 years,Siberian Husky,White
A900725,Chipotle,3/23/2024 16:58,Mar-24,7201 Levander Loop in Austin (TX),Abandoned,Normal,Dog,Spayed Female,2 years,Pit Bull,Tan/White
A900727,Fidget,3/23/2024 18:14,Mar-24,Travis (TX),Public Assist,Normal,Dog,Intact Male,3 years,Pit Bull,Tan/White
A827270,Billy,3/23/2024 18:14,Mar-24,20607 Trappers Trail in Travis (TX),Public Assist,Normal,Dog,Intact Male,6 years,Pit Bull,White/Brown Brindle
